batter,ERA_range,pitch_type_CH,pitch_type_CU,pitch_type_EP,pitch_type_FC,pitch_type_FF,pitch_type_FS,pitch_type_FT,pitch_type_IN,pitch_type_KC,pitch_type_KN,pitch_type_PO,pitch_type_RB,pitch_type_SC,pitch_type_SI,pitch_type_SL,pitch_type_UN,pitch_type_Unknown,velocity_Slow,velocity_Medium,velocity_Fast,velocity_Very Fast,ERA_Excellent,ERA_Good,ERA_Average,ERA_Poor,ERA_Very Poor
garcima01,135,13,39,1,2,0,0,0,28,1,9,0,8,22,4,0,0,18,69,49,12,0,12,10,13,34,66
garciro02,16,1,5,0,0,0,0,1,5,0,0,0,2,1,1,0,0,2,4,7,3,0,1,1,2,2,10
gardnbr01,88,2,39,1,4,0,0,0,21,0,0,0,2,12,2,0,0,7,29,40,15,0,9,12,13,16,38
garliky01,67,2,27,1,4,0,0,1,9,0,1,0,8,11,0,0,0,11,23,21,15,0,5,2,5,14,41
garnedu01,22,2,10,0,1,0,0,0,4,0,0,0,0,1,0,0,0,4,7,6,8,0,5,0,0,4,13
garrebr01,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
garrest01,86,4,29,0,4,0,0,0,22,0,3,0,1,13,2,0,0,10,32,31,18,0,6,7,7,15,51
garvemi01,188,12,63,4,7,0,0,1,35,0,8,0,12,33,1,0,0,24,77,69,27,1,15,15,4,43,111
gausmke01,10,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,6,1,0,3,2,0,3,2
gelofza01,75,3,20,2,4,0,0,0,23,0,3,0,5,14,1,0,0,5,33,28,12,0,10,6,6,18,35
giambtr01,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,1,0,1
gibsoky01,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,2,0
gimenan01,342,26,110,7,31,0,0,0,49,0,13,0,21,55,12,0,0,41,148,110,47,0,62,31,33,74,142
giolilu01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
gittech01,7,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,4,1,0,0,0,0,1,6
godoyjo01,8,1,1,1,0,0,0,0,1,0,0,0,3,0,1,0,0,3,5,2,1,0,0,1,1,0,6
goinsry01,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goldspa01,532,33,172,8,37,1,0,0,126,0,12,0,7,84,9,0,1,51,213,194,90,1,44,47,40,102,299
gombeau01,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,1
gomesya01,256,17,83,0,15,0,0,1,56,0,7,0,20,37,5,0,1,35,120,82,41,0,18,17,18,58,145
gonsoto01,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,2,0,0,0
gonzach01,5,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,1,1,3
gonzaer01,64,5,17,0,8,0,0,0,13,0,2,0,13,13,1,0,0,7,39,16,6,0,12,9,6,9,28
gonzalu03,82,8,23,0,2,0,1,1,17,0,1,0,12,12,2,0,1,15,40,24,15,0,7,18,10,18,29
gonzama01,100,12,40,1,1,0,0,1,12,0,0,0,8,8,1,0,0,24,47,38,11,0,11,6,3,28,52
gonzani01,33,6,16,0,2,0,0,0,5,0,1,0,2,2,0,0,1,1,12,13,8,0,8,1,3,6,15
gonzaos01,158,8,32,1,10,0,0,0,27,0,13,0,15,42,5,0,1,19,89,36,19,1,25,12,8,40,73
gonzaro01,50,5,14,1,3,0,0,2,9,0,2,0,16,13,0,0,0,3,24,20,3,0,6,3,2,10,29
goodmhu01,15,1,6,0,0,0,0,0,3,0,0,0,3,3,0,0,0,2,7,5,3,0,2,1,1,2,9
goodrni01,72,5,32,2,4,0,0,0,6,0,1,0,6,8,2,0,0,12,30,31,8,0,7,4,7,16,38
goodwbr01,54,3,17,2,3,0,0,0,8,0,0,0,4,7,1,0,2,11,28,20,3,1,5,7,4,13,25
gordode01,24,1,10,1,2,0,0,0,5,0,0,0,13,2,0,0,0,3,8,11,3,0,5,5,3,2,9
gordoni01,185,12,75,4,13,0,0,1,22,0,2,0,7,25,5,0,0,26,81,65,28,0,18,16,17,38,96
gorete01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
gormano01,176,18,47,6,11,0,0,0,31,0,2,0,4,30,3,0,1,28,86,64,20,0,13,8,9,30,116
gosseph01,104,6,36,0,5,0,0,0,19,0,5,0,2,16,1,0,2,14,48,31,14,0,15,15,8,23,43
goudeas01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
gourryu01,415,33,118,4,10,0,1,0,105,0,8,0,10,83,6,0,0,48,172,161,58,2,43,53,45,104,170
grandya01,221,16,71,4,18,0,0,0,32,0,4,0,15,34,5,0,1,36,101,71,34,1,19,19,15,37,131
grateju01,5,1,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,2,0,0,0,1,1,0,3
grayjo02,5,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,1,0,1,0,3
grayjo03,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
grayso01,5,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,2,1,0,1
graytr01,8,1,4,0,0,0,0,0,2,0,0,0,9,1,0,0,0,0,2,4,2,0,3,0,0,0,5
greenri03,225,24,84,3,17,0,0,0,25,0,6,0,3,34,5,0,0,28,101,82,21,1,28,22,16,34,125
greenza01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gregodi01,135,7,49,4,14,0,0,0,25,0,1,0,0,17,3,0,1,15,46,50,25,1,17,15,11,31,61
greingr01,22,0,10,0,2,0,0,0,4,0,0,0,0,5,0,0,0,1,9,10,1,0,2,2,5,3,10
greinza01,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1
grichra01,383,34,125,7,17,0,0,1,77,0,11,0,2,61,8,0,0,43,161,139,58,0,46,37,43,68,189
grishtr01,301,19,105,10,19,0,1,0,57,0,5,0,13,40,3,0,0,42,122,120,37,1,31,28,25,69,148
grissva01,62,3,23,0,1,0,0,0,10,0,0,0,8,16,0,0,0,9,30,23,9,0,9,9,6,10,28
groshjo01,18,1,4,0,0,0,0,0,7,0,0,0,1,3,0,0,1,2,5,13,0,0,0,2,3,5,8
grossro01,319,24,136,6,16,0,1,0,39,0,9,0,8,28,6,0,0,55,133,129,42,0,31,30,30,67,161
guerrvl02,562,48,160,20,30,0,1,0,118,0,21,0,1,103,6,0,1,56,252,176,107,2,49,38,39,103,333
guilllu01,154,13,52,1,10,0,0,2,32,0,3,0,6,25,3,0,0,13,54,57,29,0,20,18,15,35,66
gurrilo01,459,32,143,4,22,0,1,0,96,0,10,0,3,84,10,0,1,58,191,148,86,1,47,52,34,104,222
guthrda01,18,2,6,0,0,0,1,0,4,0,2,0,0,1,0,0,0,2,6,8,2,0,2,1,1,4,10
gutieke01,70,6,25,0,3,0,0,0,13,0,1,0,5,14,0,0,0,9,31,24,14,1,15,8,6,16,25
gutievl01,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,2,0,0,1,0
guzmaro01,7,0,3,0,0,0,0,0,2,0,0,0,4,2,0,0,0,0,3,3,1,0,0,1,0,1,5
haaseer01,227,24,71,1,7,0,0,0,39,0,6,0,7,54,1,0,0,28,117,73,28,1,20,21,11,41,134
hagerja01,20,2,7,0,2,0,0,0,2,0,0,0,4,4,0,0,0,3,7,7,3,0,1,3,3,4,9
haggesa01,85,9,25,0,3,0,0,0,12,0,6,0,15,11,2,0,0,17,39,28,10,1,12,8,8,17,40
hallda02,64,3,19,3,5,0,0,1,14,0,2,1,2,8,0,0,0,8,25,20,12,0,5,3,2,16,38
hamilbi02,29,3,15,0,0,1,0,0,5,0,0,0,6,6,0,0,0,0,12,11,5,1,3,4,5,6,11
hamilca01,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,2
hamilda03,4,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,2,1,0,1,1,1,1,0
hampsga01,216,20,75,0,15,0,0,1,45,0,4,0,11,37,5,0,2,13,86,94,24,1,35,35,24,39,83
hanigmi01,265,21,99,2,16,0,0,0,56,0,9,0,18,36,1,0,0,25,101,110,34,1,13,19,20,42,171
happia01,404,40,122,5,40,0,0,3,55,1,6,0,19,42,4,0,2,89,180,146,48,0,43,40,29,87,205
harpebr03,447,41,135,12,37,0,0,1,57,1,10,0,0,71,7,0,3,72,215,142,57,1,28,52,22,75,270
harrijo05,268,11,81,1,23,0,1,4,57,0,4,0,14,59,4,0,2,21,104,92,44,0,30,26,23,68,121
harrimi04,282,21,92,12,26,0,0,0,41,0,11,0,16,38,5,0,1,35,117,100,43,1,29,31,27,56,139
harrimo01,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,1,3,0
haselad01,23,3,7,1,2,0,0,1,6,0,0,0,13,1,0,0,0,2,5,10,5,0,1,3,5,5,9
hayeske01,391,24,116,7,23,0,1,1,93,0,14,0,5,62,8,0,3,42,164,151,47,3,42,50,35,77,187
haysau01,415,33,127,7,23,0,1,0,83,0,12,0,16,77,8,0,2,42,184,143,59,0,47,51,30,97,190
healyry01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
heanean01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
heathni01,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,4
hedgeau01,139,8,48,0,3,0,0,0,28,0,3,0,7,36,6,0,1,7,59,52,18,0,17,10,15,28,69
heimjo01,282,24,113,4,19,0,0,0,31,1,3,0,19,21,4,0,1,62,113,102,42,1,28,13,24,78,139
heinesc01,3,0,1,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,1,2,0,0,1,0,0,0,2
heinety01,51,4,16,1,5,0,0,0,10,0,0,0,2,5,1,0,1,8,23,20,6,0,2,10,4,9,26
hendegu01,186,26,58,9,15,0,0,0,24,0,3,0,11,22,6,0,1,22,82,49,40,2,15,16,19,32,104
hendrky01,6,1,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,3,3,0,0,1,0,2,0,3
henrypa01,13,0,1,0,2,0,0,0,4,0,0,0,6,2,0,0,0,4,6,5,1,0,4,0,0,1,8
henslda01,26,3,10,1,1,0,0,0,6,0,0,0,4,2,0,0,0,3,9,12,4,0,4,1,3,7,11
heredgu01,81,6,28,0,2,0,0,3,16,0,0,0,6,13,1,0,1,11,37,28,10,0,9,11,1,25,35
hermomi01,14,0,5,1,1,0,0,1,3,0,0,0,8,1,1,0,0,1,4,6,1,0,1,0,0,5,8
hernace02,279,18,103,4,23,0,0,0,46,0,1,0,16,38,4,0,0,44,115,111,31,0,35,46,32,57,109
hernada04,3,0,1,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,2,1,0,0,0,0,1,1,1
hernael01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
hernael02,6,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,3,2,1,0,0,0,0,2,0,4
hernaen02,342,24,128,4,18,0,0,2,59,0,16,0,20,52,6,0,0,33,138,128,56,0,39,31,30,65,177
hernama02,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hernate01,473,39,135,6,27,0,0,2,88,0,20,0,5,97,6,0,1,54,219,146,71,0,45,30,32,85,281
hernaya01,159,14,52,5,5,0,0,0,26,0,0,0,8,28,4,0,0,25,60,58,29,1,17,16,13,54,59
hernayo02,36,1,17,1,0,0,0,0,8,0,1,0,4,3,0,0,0,5,15,18,3,0,3,5,1,11,16
herreiv01,16,1,6,0,2,0,0,0,3,0,1,0,2,3,0,0,0,3,5,3,5,0,2,0,0,6,8
herrejo04,45,2,16,1,3,0,0,0,9,0,1,0,7,5,1,0,0,7,17,19,4,0,5,5,7,9,19
herreod01,166,17,65,0,15,0,0,1,16,0,2,0,0,24,1,1,3,22,76,56,22,1,24,23,15,32,72
herrmch01,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heywaja01,191,14,70,4,12,0,0,0,35,0,2,0,15,20,4,0,1,29,72,67,38,0,19,21,17,47,87
hicklbr01,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0
hicksaa01,189,12,72,7,15,0,1,0,32,0,4,0,7,18,1,0,1,27,65,72,34,1,24,21,13,44,87
hicksjo02,11,0,3,0,2,0,0,0,1,0,0,0,6,3,0,0,0,2,6,3,0,0,0,2,0,4,5
higasky01,159,17,51,2,2,0,1,1,36,0,8,0,2,27,1,0,0,13,72,58,23,0,12,9,11,39,88
higgipj01,48,3,9,0,4,0,0,2,15,0,0,0,9,8,1,0,1,5,18,18,7,0,7,4,4,12,21
hillde01,67,3,19,2,8,0,0,0,10,0,1,0,5,10,0,0,0,15,32,19,8,1,15,12,5,9,26
hillisa01,108,7,43,0,10,0,0,1,15,0,0,0,9,13,1,0,0,18,40,40,15,0,13,7,5,17,66
hillri01,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,0
hiurake01,88,6,25,1,6,0,0,0,18,0,1,0,22,18,2,0,0,11,39,32,10,0,7,5,1,24,51
hoernni01,353,26,106,3,23,0,0,3,81,0,8,0,23,71,1,0,2,32,139,125,56,1,51,35,31,84,152
hoffmje02,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2
holadbr01,9,1,1,0,1,0,0,0,2,0,0,0,0,3,0,0,0,1,6,2,0,0,0,1,0,4,4
hollojo01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
holtbr01,49,2,22,2,4,0,0,0,10,0,1,0,7,3,0,0,0,5,13,24,9,0,5,6,6,9,23
hopkitj01,9,0,3,0,1,0,0,0,1,0,0,0,1,2,1,0,0,1,4,1,3,0,1,0,2,4,2
horwisp01,14,1,5,2,0,0,0,0,4,0,0,0,1,2,0,0,0,0,3,9,2,0,0,2,2,2,8
hoskirh01,273,14,105,5,11,0,0,1,57,0,10,0,2,39,5,0,0,28,95,110,43,3,22,24,13,55,159
hosmeer01,260,32,86,1,27,0,0,0,33,0,3,0,20,41,6,0,0,32,107,90,39,1,31,26,31,56,116
housead01,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
howarsp01,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0
hudsoda02,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
hudsojo03,3,0,1,0,0,0,0,0,1,0,0,0,10,1,0,0,0,0,1,1,1,0,0,0,0,1,2
huffsa01,40,3,13,0,4,0,0,0,5,0,1,0,0,8,0,0,0,6,15,13,4,1,0,4,5,6,25
hummeco01,34,3,17,0,2,0,0,0,2,0,0,0,8,1,0,0,0,9,11,12,9,0,5,4,1,4,20
hunteto02,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
hurstsc01,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ibanean01,198,16,62,3,12,1,0,0,39,0,4,0,16,31,5,0,0,25,88,70,25,0,31,14,23,37,93
iglesjo01,271,20,81,1,12,0,0,0,40,0,3,0,10,69,9,0,5,32,139,88,26,2,42,27,30,58,114
inciaen01,25,1,8,0,2,0,0,0,5,0,0,0,0,4,1,0,0,4,12,7,3,0,5,5,1,5,9
indiajo01,355,27,122,8,17,0,0,0,88,0,7,0,35,56,5,0,1,24,131,152,49,2,26,26,34,93,176
irvinco01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
isbelky01,156,13,52,3,9,0,0,0,27,1,6,0,19,19,3,0,0,23,65,51,25,0,18,18,17,33,70
jacksal02,25,2,4,1,4,0,0,0,5,0,0,0,8,3,0,0,0,6,11,4,6,0,2,2,5,5,11
jacksdr01,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jankotr01,116,6,55,1,10,0,0,2,16,0,2,0,5,11,1,0,0,12,35,50,23,0,18,17,16,25,40
janseda01,171,11,52,4,7,0,1,0,34,0,6,0,1,34,2,0,0,21,76,62,21,0,13,20,9,36,93
jayjo02,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,0,0,1,1,1,1,1
jeffery01,186,18,63,1,8,0,1,0,34,0,5,0,6,34,4,0,0,18,81,66,29,0,12,26,11,44,93
jimenel02,267,18,57,2,13,0,0,0,71,0,18,0,28,66,2,0,1,20,129,93,34,0,27,35,23,47,135
joeco01,276,23,91,1,9,0,0,0,70,0,4,0,13,43,3,0,3,29,103,104,54,0,24,25,24,63,140
johnsbr03,9,1,3,0,0,0,0,0,2,0,0,0,10,1,0,0,0,2,2,4,1,1,1,1,1,1,5
johnsda07,17,0,8,0,1,0,0,0,1,0,0,0,6,5,0,0,0,2,6,7,2,0,2,2,0,1,12
jonesja07,20,2,6,0,3,0,0,0,4,0,0,0,5,2,0,0,0,3,7,7,4,0,0,2,3,3,12
jonesja08,17,0,3,0,1,0,0,0,3,0,2,0,5,6,0,0,0,2,8,6,0,0,3,0,1,6,7
jonesno01,141,9,44,3,10,0,0,0,22,0,4,0,3,26,3,0,1,19,67,43,19,0,17,6,9,25,84
jonesta01,27,5,6,0,1,0,0,0,7,0,0,0,5,5,1,0,0,2,12,7,6,0,4,3,1,7,12
joycema01,7,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,2,3,2
judgeaa01,468,35,155,8,30,0,2,0,101,0,20,0,2,72,5,0,1,41,186,172,82,0,30,22,23,72,321
julieed01,101,8,45,1,4,0,0,1,14,0,2,0,2,8,1,0,0,17,33,43,21,0,6,10,11,23,51
julksco01,78,5,22,2,6,0,0,2,18,0,1,0,5,16,1,0,0,6,34,23,15,0,4,4,10,21,39
jungjo01,174,8,50,3,20,0,1,0,36,0,6,0,7,33,0,0,0,17,76,55,28,1,14,11,8,41,100
kaiseco01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
kaprija01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
katohgo01,9,1,3,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,5,2,1,0,1,3,0,1,4
kazmase01,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1
keithco01,9,1,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,5,3,1,0,2,0,0,2,5
kelenja01,186,13,66,11,16,0,1,0,26,0,4,0,22,28,4,0,0,17,79,63,27,0,9,15,14,34,114
kellemi03,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2
kellyca02,185,9,64,1,6,0,1,0,45,0,5,0,1,28,4,0,0,22,77,77,23,1,15,13,20,34,103
kellyme01,5,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,3,2
kellyty01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kempto01,287,16,135,10,17,0,0,1,43,0,2,0,24,26,6,1,1,29,93,119,51,2,52,28,30,50,127
kennebu01,27,1,8,0,0,0,0,0,11,0,0,0,0,2,0,0,0,5,12,11,3,0,5,3,2,5,12
keplema01,310,22,97,4,23,0,0,1,50,0,7,0,4,47,8,0,0,51,145,105,37,0,30,21,17,70,172
kershcl01,8,0,2,0,1,0,0,0,1,0,0,0,1,2,2,0,0,0,4,4,0,0,1,2,2,1,2
kessigr01,10,1,1,0,0,0,1,0,0,0,2,0,3,1,2,0,0,2,6,2,0,0,1,0,1,3,5
kieboca01,63,3,17,2,2,0,0,0,19,0,0,0,2,13,4,0,2,1,19,31,6,0,8,9,7,13,26
kiermke01,249,16,101,5,12,0,2,0,37,0,5,0,10,34,4,0,0,34,102,98,35,0,44,33,19,48,105
kimha01,341,23,91,6,20,0,0,2,83,0,8,0,17,73,6,0,1,30,140,134,36,1,43,25,32,67,174
kimkw01,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0
kineris01,411,41,150,3,24,1,0,3,70,0,11,0,11,69,7,0,2,30,185,143,58,2,60,41,47,83,180
kingesc01,9,0,2,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,3,3,1,0,0,1,1,2,5
kipnija01,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
kirilal01,174,17,63,4,10,0,1,0,32,0,2,0,11,22,2,0,0,21,63,64,34,0,15,16,14,36,93
kirkal01,291,21,85,5,23,0,0,0,67,0,8,0,0,49,4,0,0,30,113,98,54,1,29,28,26,62,146
kivlepa01,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
kjershe01,12,3,4,1,1,0,0,0,0,0,0,0,3,1,0,0,0,2,6,4,1,0,0,4,1,4,3
knappan01,33,2,9,0,1,0,0,0,8,0,0,0,3,7,0,0,0,6,16,7,8,0,4,5,3,7,14
kniznan01,144,10,33,5,7,0,1,3,47,0,3,0,5,25,1,0,2,7,60,55,18,0,9,16,10,46,63
kohlwta01,2,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,1,1,0,0,0,0,1,0,0,1
kolozma01,4,0,1,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,3,0,0,0,2,0,0,2
kozmape01,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0
krameke01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
kreidry01,31,3,14,0,5,0,0,0,4,0,1,0,0,3,0,0,0,1,13,11,6,0,3,5,2,8,13
krizaja01,4,0,1,0,0,0,0,0,2,0,0,0,11,1,0,0,0,0,1,1,2,0,0,0,0,0,4
krugeja01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kuhlch01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
kwanst01,360,24,148,6,19,0,0,1,60,0,7,0,27,40,12,0,0,44,134,148,50,1,58,41,29,69,163
lagarju01,85,11,31,0,6,0,0,0,13,0,1,0,5,13,1,0,0,10,34,36,8,0,9,7,7,19,43
lamarry01,8,0,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,3,4,1,0,3,0,1,1,3
lambja01,63,4,22,2,4,0,0,0,10,0,0,0,18,7,2,0,0,12,22,23,12,0,1,2,6,17,37
langesh01,130,10,26,2,7,0,0,0,32,0,9,0,7,30,0,0,0,14,64,38,19,2,12,14,8,22,74
langfwy01,6,0,1,0,0,0,0,0,3,0,0,0,8,1,0,0,0,1,3,2,1,0,2,0,0,1,3
larnatr01,142,10,59,6,8,0,0,0,24,0,2,0,10,21,3,0,0,9,51,56,25,0,16,10,10,28,78
lasteto01,105,9,49,2,6,0,0,0,10,0,0,0,11,14,4,0,0,11,33,40,25,0,8,14,9,24,50
lauerer01,4,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,2,1
laurera01,244,15,94,3,13,0,1,0,49,0,9,0,17,37,4,0,2,17,90,92,40,3,22,18,19,54,131
lavarry01,9,0,5,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,2,3,4,0,0,2,0,1,6
lavasbr01,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
lawlajo01,6,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,3,2,0,0,2,1,1,0,2
leblach01,42,4,14,1,1,0,0,0,12,0,0,0,0,7,1,0,0,2,14,20,4,1,5,5,5,8,19
leeju01,4,0,1,0,0,0,0,0,1,0,1,0,4,0,0,0,0,1,1,2,0,0,0,0,0,2,2
leekh01,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
leeko01,14,1,6,0,0,0,0,0,1,0,0,0,5,4,0,0,0,2,9,3,2,0,0,1,3,5,5
lemahdj01,419,31,126,6,30,0,0,2,75,0,14,0,4,87,12,0,2,34,184,158,37,1,38,39,38,97,207
leonsa01,56,6,18,3,4,0,0,0,13,0,0,0,7,5,2,0,0,5,26,26,3,0,2,7,9,17,21
lestejo01,8,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,3,1,0,0,0,1,1,6
lestejo02,6,0,2,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,4,1,1,0,2,0,0,0,4
lewisky01,54,2,17,0,3,0,0,0,12,0,3,0,6,9,1,0,0,7,21,19,8,0,2,3,4,15,30
lewisro02,91,7,28,0,4,0,0,0,13,0,5,0,0,22,1,0,0,11,36,26,20,1,10,4,6,17,54
leybado01,10,0,5,0,1,0,0,0,1,0,0,0,5,1,0,0,0,2,5,3,2,0,2,0,0,5,3
liberlu01,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lindofr01,461,37,154,6,33,0,1,0,73,0,10,0,4,60,13,0,0,74,186,176,59,2,48,38,38,101,236
lintz02,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
lipcian01,13,2,6,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,2,9,1,0,1,0,2,4,6
litteza01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
locasti01,50,4,14,0,5,0,0,0,8,0,4,0,9,8,0,0,0,8,23,15,6,0,7,8,4,5,26
loftini01,21,1,7,0,0,0,0,0,4,0,2,0,10,3,0,0,0,4,8,7,4,0,4,1,2,4,10
longoev01,192,15,75,4,8,0,0,0,34,0,4,0,4,27,6,0,3,16,58,76,39,0,20,9,15,42,106
longsa01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
longsh01,22,0,8,2,3,0,0,0,1,0,0,0,0,5,1,0,0,2,15,5,0,0,2,4,2,3,11
lopesch01,2,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,0,0,0,0,0,1,1
lopesti01,2,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,2
lopezal03,44,2,17,2,3,0,0,0,11,0,0,0,2,5,0,0,0,5,14,20,9,0,6,6,3,9,20
